"","V202290x","V201507x","V202073"
"1140",4,58,-1
"1141",4,57,1
"1142",4,61,1
"1143",4,37,1
"1144",2,49,-1
"1145",1,80,-1
"1146",1,34,-1
"1147",4,71,1
"1148",2,42,2
"1149",2,62,2
"1150",1,63,2
"1151",4,27,1
"1152",2,38,1
"1153",2,33,2
"1154",1,63,2
"1155",4,38,-1
"1156",4,72,2
"1157",4,26,1
"1158",1,35,2
"1159",4,61,2
"1160",2,58,-1
"1161",4,39,-1
"1162",6,54,1
"1163",2,52,2
"1164",1,69,2
"1165",4,60,1
"1166",4,67,-9
"1167",4,47,1
"1168",4,67,2
"1169",4,57,1
"1170",4,31,1
"1171",4,73,1
"1172",4,70,2
"1173",2,80,2
"1174",4,61,2
"1175",4,41,2
"1176",2,68,2
"1177",7,32,1
"1178",4,65,-1
"1179",4,28,1
"1180",4,33,1
"1181",-5,30,-1
"1182",2,64,2
"1183",4,61,2
"1184",4,49,1
"1185",4,62,1
"1186",1,39,-1
"1187",4,-9,1
"1188",4,66,2
"1189",2,62,1
"1190",-6,80,-6
"1191",-2,62,1
"1192",-6,47,-6
"1193",4,42,1
"1194",4,34,2
"1195",1,-9,2
"1196",1,60,-1
"1197",4,54,1
"1198",4,35,-1
"1199",1,73,-1
"1200",1,80,2
"1201",4,64,-1
"1202",1,32,2
"1203",4,56,2
"1204",1,68,2
"1205",3,67,2
"1206",4,67,2
"1207",4,72,1
"1208",-6,58,-6
"1209",4,57,1
"1210",4,39,1
"1211",3,23,1
"1212",1,63,2
"1213",1,-9,2
"1214",4,37,1
"1215",2,69,-1
"1216",4,42,2
"1217",4,66,1
"1218",4,69,1
"1219",4,72,1
"1220",-6,38,-6
"1221",4,66,1
"1222",4,58,1
"1223",4,27,-1
"1224",6,28,1
"1225",4,50,1
"1226",6,25,3
"1227",4,53,1
"1228",4,80,1
"1229",1,-9,-1
"1230",-6,70,-6
"1231",2,64,2
"1232",4,59,1
"1233",1,77,2
"1234",6,49,1
"1235",2,51,2
"1236",2,69,2
"1237",1,69,1
"1238",4,30,-1
"1239",4,31,-1
"1240",4,26,1
"1241",4,68,2
"1242",4,67,-1
"1243",4,46,1
"1244",2,40,1
"1245",4,23,-1
"1246",4,72,1
"1247",4,38,1
"1248",1,76,2
"1249",4,73,2
"1250",6,34,1
"1251",4,36,1
"1252",1,80,2
"1253",4,76,2
"1254",4,66,1
"1255",4,74,-9
"1256",3,44,1
"1257",4,30,1
"1258",2,61,2
"1259",4,79,2
"1260",1,23,2
"1261",7,38,-1
"1262",4,75,1
"1263",1,29,2
"1264",4,33,1
"1265",2,59,-1
"1266",2,72,1
"1267",-6,49,-6
"1268",-6,52,-6
"1269",2,52,2
"1270",4,41,1
"1271",-2,-9,1
"1272",3,52,2
"1273",4,67,1
"1274",4,53,1
"1275",6,34,1
"1276",1,71,1
"1277",2,28,-1
"1278",2,66,2
"1279",1,69,2
"1280",2,46,-1
"1281",4,42,-1
"1282",2,24,-1
"1283",4,53,3
"1284",2,47,1
"1285",4,41,1
"1286",4,80,1
"1287",2,72,2
"1288",5,31,1
"1289",4,21,1
"1290",4,42,1
"1291",4,40,1
"1292",4,80,1
"1293",4,76,1
"1294",4,71,1
"1295",4,38,1
"1296",3,33,-1
"1297",4,41,3
"1298",4,62,2
"1299",2,73,2
"1300",4,28,1
"1301",3,21,-1
"1302",4,64,2
"1303",4,58,2
"1304",1,26,1
"1305",4,23,-1
"1306",4,61,1
"1307",4,50,1
"1308",4,67,1
"1309",2,35,2
"1310",4,68,2
"1311",4,61,2
"1312",4,32,1
"1313",4,78,2
"1314",4,65,1
"1315",4,19,1
"1316",4,25,1
"1317",2,75,2
"1318",-6,32,-6
"1319",4,29,1
"1320",4,74,2
"1321",-6,70,-6
"1322",4,57,2
"1323",4,80,1
"1324",4,38,2
"1325",4,21,1
"1326",-6,71,-6
"1327",4,46,1
"1328",4,72,2
"1329",4,62,2
"1330",4,40,1
"1331",-7,50,-7
"1332",4,43,1
"1333",4,59,-1
"1334",4,27,-1
"1335",4,36,1
"1336",4,31,2
"1337",4,22,-1
"1338",4,66,2
"1339",4,44,1
"1340",4,72,1
"1341",-6,31,-6
"1342",4,67,-1
"1343",-6,65,-6
"1344",4,71,2
"1345",4,-9,1
"1346",3,42,1
"1347",4,49,2
"1348",1,59,1
"1349",4,67,1
"1350",4,77,1
"1351",4,36,1
"1352",4,61,1
"1353",1,66,-1
"1354",4,41,2
"1355",4,64,2
"1356",4,37,12
"1357",4,80,-1
"1358",3,72,1
"1359",2,37,5
"1360",4,43,-1
"1361",4,28,1
"1362",4,36,2
"1363",3,23,2
"1364",1,77,1
"1365",1,73,1
"1366",4,45,2
"1367",2,27,2
"1368",4,-9,-9
"1369",4,38,2
"1370",4,51,1
"1371",4,30,2
"1372",4,80,1
"1373",4,58,2
"1374",4,72,1
"1375",1,26,2
"1376",4,-9,-1
"1377",4,57,1
"1378",1,37,3
"1379",4,39,-1
"1380",-6,54,-6
"1381",4,33,2
"1382",1,64,1
"1383",4,72,-1
"1384",4,61,8
"1385",4,60,1
"1386",4,73,-1
"1387",2,59,2
"1388",4,37,2
"1389",4,48,1
"1390",4,58,1
"1391",4,59,1
"1392",-6,64,-6
"1393",3,71,2
"1394",4,76,2
"1395",7,32,-1
"1396",4,39,-1
"1397",4,64,1
"1398",4,69,1
"1399",4,38,2
"1400",2,68,2
"1401",4,40,-1
"1402",4,30,1
"1403",4,30,-1
"1404",4,64,-1
"1405",2,69,2
"1406",4,62,1
"1407",4,22,-1
"1408",-6,53,-6
"1409",2,53,2
"1410",-6,39,-6
"1411",3,41,1
"1412",2,64,1
"1413",1,66,1
"1414",2,64,2
"1415",4,53,1
"1416",4,70,2
"1417",2,55,2
"1418",1,53,-1
"1419",1,38,-1
"1420",6,35,-1
"1421",4,37,1
"1422",4,50,-1
"1423",4,56,2
"1424",2,43,1
"1425",4,27,-1
"1426",4,36,-1
"1427",2,51,2
"1428",4,37,1
"1429",4,52,1
"1430",2,61,1
"1431",4,42,1
"1432",4,69,1
"1433",4,80,2
"1434",4,80,-1
"1435",4,-9,1
"1436",-6,56,-6
"1437",4,35,1
"1438",2,55,-1
